"Row.names","Condition","Phenotype","nTVC","nATM","migration.perturbed","orientation.perturbed","division.perturbed","TVC.contiguous","ATM.contiguous"
"Foxf.image2.2020_07_14","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.image3.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image3.2020_07_14","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.image4.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image4.2020_07_23","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.image5_right.2020_07_23","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.image5.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image6.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image7.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image7.2020_07_14","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.image7.2020_07_23","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.image8.2020_07_14","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.image9.2020_06_17","Foxf",NA,4,2,NA,NA,NA,1,1
"Foxf.image9.2020_07_23","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide1_image1.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image11.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide1_image12.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide1_image14_left.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image15_right.2020_02_06","Foxf","migration/orientation perturbed",4,2,TRUE,TRUE,FALSE,1,1
"Foxf.slide1_image16.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image17.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image18.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image19.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image2.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
