"embedding1","embedding2","embedding3","embedding4","embedding5","embedding6","embedding7","embedding8","embedding9","embedding10","embedding11","embedding12","embedding13","embedding14"
-0.33510548,-0.5611282,-0.60945797,-0.17417051,0.13559783,0.026230413,0.036320332,0.45526618,0.38339838,-0.25251535,0.3607358,-0.030936606,-0.4714827,0.058530085
0.13956556,0.23186743,0.22013927,-0.1760214,-0.5153999,0.1934319,0.25509158,-0.16297138,0.4835491,-0.03995879,0.67204255,0.6136718,-0.28428766,0.34630868
-0.5450298,-0.7301567,-0.3984346,0.1662532,0.42580232,0.014645331,0.2440506,0.40442622,0.18496427,0.1061779,0.19007756,0.13541175,-0.4622905,0.2539261
-0.51913536,-0.2970171,-0.6414682,0.25946242,0.17512159,-0.3598204,0.6447933,0.52354205,-0.15529509,0.20468298,-0.09361613,-0.20660205,-0.053090386,0.42296833
-0.5895797,-0.48122334,-0.41695017,-0.21115714,-0.45359042,0.60484874,0.07214199,0.4917702,0.61496305,-0.37377483,-0.49067384,-0.47993073,-0.4674549,-0.27567437
-0.42803767,-0.472347,-0.3818086,-0.30592668,-0.2905181,0.54267347,-0.14212665,0.43183583,0.55531484,-0.33814237,0.04619028,-0.6362593,-0.39026883,-0.48725846
-0.3031598,-0.47249708,-0.47490975,-0.10774995,-0.33079982,0.6364162,0.051349342,0.4459317,0.57234246,-0.3498887,-0.10042554,-0.6298591,-0.34583798,-0.34742388
-0.3736335,-0.61050147,-0.46346775,0.37557596,-0.0015682081,0.16926818,0.50344795,0.266158,-0.298208,0.20168234,0.40313622,-0.31466815,-0.31900474,0.41798848
-0.20372057,0.3050271,0.49344763,0.19410998,-0.54728365,-0.37147978,0.33680478,0.010071318,0.118254036,-0.1325407,0.024047038,0.040088672,-0.33136022,-0.5205734
-0.2496915,0.6117724,0.13415582,-0.6505421,-0.16503622,-0.0023410704,-0.3776083,0.22825944,0.012856135,0.010476954,0.6044773,-0.2660487,-0.3936892,-0.4795592
-0.055208545,0.21381776,0.09429711,-0.019438291,-0.37208092,-0.26091024,0.12935033,-0.20129856,0.09925635,-0.28400615,0.15306064,0.017730074,-0.27081883,-0.29712778
